Connecting to: https://ezfccfypwmuvbpujkqrg.supabase.co
Unique UserIDs found in data: {'10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6'}

--- APIARIES ---
Apiary: Kibwezi Main Apiary | ID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6 | Status: None
Hive: KIB-H099 | ID: bf6948cf-8aaa-4f9f-b155-55160a1a1195 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H100 | ID: 6021e1a8-657a-4e8d-b70a-0f3348ae5563 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H101 | ID: 276d05f3-75a4-4ff4-95eb-575e6c50e680 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H102 | ID: e5a6356d-89ca-409c-87cc-15ca3a6eb7ce | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H103 | ID: 01435203-44d8-482a-a182-49754595828e | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H104 | ID: eee79f0c-64b0-4ff5-ad58-bd3e6efb2a4a | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H105 | ID: 79944338-c286-4fa7-854c-b1c23b12a982 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H106 | ID: ece982bd-5b2f-4ed6-ae39-02004384c3c8 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H107 | ID: 529288d3-97ee-463f-8680-d9ccfad30d79 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H108 | ID: 01048db3-44be-4378-ad89-a467c00801af | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
Hive: KIB-H109 | ID: 1ea5a3c3-ff1d-40df-8b97-6a8363fc81e2 | ApiaryID: 767104d8-4cba-4cf1-acaa-8b6dd243b2de | UserID: 10c9b5b3-f9c4-47cf-bc6b-c7d6e8e4bce6
